No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00163,9780571226832,The World According To Humphrey,Betty G. Birney,Faber and Faber Limited,2006,142,Dihadiahkan,English,F,FE,BET,1,,
00164,9781841350646,Mr Meddle's Bicycle,Enid Blyton,Award Publications,2001,191,Dihadiahkan,English,F,FE,BLY,1,,
00165,9780857074768,Dork Diaries: Party Time,Rachel Renee Russell,Simon and Schuster,2010,279,Dihadiahkan,English,F,FE,RAC,1,,
00166,9780857079800,Dork Diaries: How To Dork Your Diary,Rachel Renee Russell,Simon and Schuster,2011,184,Dihadiahkan,English,F,FE,RAC,1,,
00167,9781471117688,Dork Diaries: TV Star,Rachel Renee Russell,Simon and Schuster,2014,320,Dihadiahkan,English,F,FE,RAC,1,,
00168,9781471168659,Dork Diaries: Puppy Love,Rachel Renee Russell,Simon and Schuster,2016,291,Dihadiahkan,English,F,FE,RAC,1,,
00169,9781471176449,Dork Diaries: Frenemies Forever,Rachel Renee Russell,Simon and Schuster,2017,243,Dihadiahkan,English,F,FE,RAC,1,,
00170,9780861635863,The Sneezing Dog,Enid Blyton,Award Publications,2003,191,Dihadiahkan,English,F,FE,BLY,1,,
00171,9781481421843,Dork Diaries: Tales From A Not-So-Happily Ever After,Rachel Renee Russell,Simon and Schuster,2014,295,Dihadiahkan,English,F,FE,RAC,1,,
00172,9780857079381,Dork Diaries: Holiday Heartbreak,Rachel Renee Russell,Simon and Schuster,2013,343,Dihadiahkan,English,F,FE,RAC,1,,
00173,9781599663371,Nicholas Nickleby,Charles Dickens,Compass Publishing,2009,122,Dihadiahkan,English,F,FE,CHA,1,,
00174,9780192752628,Pippi Goes Aboard,Astrid Lindgren,Oxford University Press,2002,126,Dihadiahkan,English,F,FE,AST,1,,
00175,9556811208070,A Greedy Lion,Rhythm Publishing,Rhythm Publishing,2000,16,Dihadiahkan,English,F,FE,RHY,1,,
00176,9789673179220,Tipu Helah Budak Penggembala dan Anjing Yang Tamak,Kohwai Dan Young,Kohwai Dan Young,2013,16,2.90,Malay,F,FM,KAY,3,,
00177,9789675248580,Mengapa Biawak Memanjangkan Lehernya,Kelsom Masri,Edujaya,2011,110,Dihadiahkan,Malay,NF,899.23,KEL,1,,
00178,9789673179220,Tipu Helah Budak Penggembala dan Anjing Yang Tamak,Kohwai Dan Young,Kohwai Dan Young,2013,16,2.90,Malay,F,FM,KAY,3,,
00179,9789673497737,Business Accounting,"Miller Nobles,Mattison & Matsumura",Pearson Malaysia,2020,713,Dihadiahkan,English,NF,657.07,MIL,1,,
00180,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00181,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
00182,9789622582934,Reader's Digest Bilingual Selections : Always By Your Side ,Peter Dockrill,Reader's Digest Association Far East Limited,2003,203,49.00,English,NF,428.2,REA,32,,
